index,lyrics_features,moods
22,hop plane lax dream cart welcom land fame xx gonna fit jump cab time look right hollywood sign crazi everybodi famous tummi turnin m feelin kinda home sick pressur m nervous caus taxi man turn radio jay z song jay z song jay z song chorus hand play song butterfli fli away noddin head like yeah movin hip like yeah got hand playin song know m gonna ok yeah parti usa yeah parti usa club taxi cab everybodi lookin like whos chick that rockin kick gotta town hard girl definatel nashvill parti caus stilleto guess got memo tummi turnin m feelin kinda home sick pressur m nervous d j drop favorit tune britney song britney song britney song chorus hand play song butterfli fli away noddin head like yeah movin hip like yeah hand playin song know m gonna ok yeah parti usa yeah parti usa feel like wanna fli hometown tonight stop everytim d j play song feel alright chorus hand play song butterfli fli away noddin head like yeah movin hip like yeah hand playin song know m gonna ok yeah na na na na na parti usa yeah parti usa hand play song butterfli fli away noddin head like yeah movin hip like yeah hand playin song know m gonna ok yeah parti usa yeah parti usa,happy
23,oh na na s oh na na s oh na na s oh na na s oh na na s s s yeah heard good soft lip yeah know word mouth squar root 69 8 right caus ve tryin work ooh good weed white wine come aliv night time okay away thing radio ooh let play say gotta leav know wanna stay just wait traffic jam finish girl thing minut girl say say wear s get hot crack window air mighti long day soon text write gon say oh na na s oh na na s oh na na s s s everybodi know work bodi know make want boy stay got keep balanc babi challeng let s explor talent hey boy realli wanna downtown girl like hey boy realli wanna caus just type oh na na na na need boy look guy work oh oh oh oh oh oh oh oh hey boy realli wanna downtown girl like hey boy realli wanna caus just type oh na na na na need boy look guy work oh oh oh oh oh oh oh oh oh na na s oh na na s oh na na s s s babi got ain t d arm forth rock yeah surrend word whisper door enter let hey boy realli wanna downtown girl like hey boy realli wanna caus just type oh na na na na need boy look guy work oh oh oh oh oh oh oh oh amaz took time figur that way past point turn bout break swear got lose mind oh na na s oh na na s oh na na s oh na na s oh na na s s s hey boy realli wanna downtown girl like hey boy realli wanna caus just type oh na na na na need boy look guy work oh oh oh oh oh oh oh oh hey boy realli wanna downtown girl like hey boy realli wanna caus just type oh na na na na need boy look guy work oh oh oh oh oh oh oh oh,happy
25,right start thief stole heart will victim let part weren t pretti touch fix ve talk sleep oh oh thing say oh oh tell ve love love just reason just littl bit s just second broken just bent learn love s star s written scar heart broken just bent learn love m sorri don t understand come thought fine oh head run wild dear everythin s mind yeah happenin ve havin real bad dream oh oh use lie close oh oh s sheet love love oh love love just reason just littl bit s just second broken just bent learn love stop written scar heart broken just bent learn love oh tear duct rust ll fix collect dust love s hold pour drink bad ll come clean just reason just littl bit s just second broken just bent learn love s star s written scar heart broken just bent learn love just reason just littl bit s just second broken just bent learn love s star s written scar heart broken just bent learn love oh learn love oh learn love oh oh broken just bent learn love,happy
26,like everybodi s got price wonder sleep night tale come truth come second just stop minut smile everybodi act damn mysteri got shade eye heel high t good time everybodi look left yeah everybodi look right ha feel yeah pay love tonight s money money money don t need money money money just wanna make world danc forget price tag ain t ha cha ching cha ching aint yeah ba bling ba bling wanna make world danc forget price tag need time music unit wasn t low blow video hoe gettin tire everybodi obsess money t buy happi slow enjoy right guarante ll feelin right everybodi look left yeah everybodi look right ha feel yeah pay love tonight yeah yeah price tag cash just stream half stack car leav garag yes need key guitar guess 30 second m leav mar yes leav undefeat odd like man t price life love fight sacrific everynight aint gon stumbl fall wait sign defeat uh uh gon move feet bring beat everybodi sing s yeah yeah oo oooh forget price tag,happy
28,la la la la la la la la la la la la uh yeah la la la la want love like m hot pie uh yeah thinkin uh doin like boy forget world caus s gon tonight yeah wanna make beg im gon make swallow pride oh want make feel like m girl world like m ll love like m know heart girl world like m s command caus m understand make feel like man yeah want make feel like m girl world like m ll love like m know heart want like thief night hold like pillow make feel right babi ll tell secret m keepin come insid enter ain t leavin prison night oh want make feel like m girl world like m ll love like m know heart girl world like m s command caus m understand like m know heart ride ride oh babi high high let make rise rise oh make night night ride ride oh babi high high let make rise rise make night want make feel like m girl world like m ll love like m know heart girl world like m s command caus m understand make feel like man girl world girl world girl world girl world,happy
29,singl ladi singl ladi singl ladi singl ladi singl ladi singl ladi singl ladi hand club just broke m do littl thing decid dip wanna trip caus brother notic m don t pay attent just cri tear good year t mad caus like ring like ve ring don t mad want like ve ring oh oh oh like ring like ve ring don t mad want like ve ring got gloss lip man hip got tighter dereon jean act drink cup care think need permiss did mention don t pay attent caus turn gonna learn realli feel like miss caus like ring like ve ring don t mad want like ve ring oh oh oh like ring like ve ring don t mad want like ve ring oh oh oh don t treat thing world m kind girl love prefer deserv s man make take deliv destini infin pull arm say m don t ll like ghost ll gone singl ladi singl ladi singl ladi singl ladi singl ladi singl ladi singl ladi hand oh oh oh caus like ring like ve ring don t mad want like ve ring oh oh oh like ring like ve ring don t mad want like ve ring oh oh oh,happy
31,m wake ash dust wipe brow sweat rust m breath chemic m break shape check prison bus apocalyps ohohoh m wake feel bone make blow welcom new age new age welcom new age new age ohohohohohohoh m radioact radioact ohohohohohohoh m radioact radioact rais flag dye cloth s revolut suppos paint red fit right ohohoh m break shape check prison bus apocalyps ohohoh m wake feel bone make blow welcom new age new age welcom new age new age ohohohohohohohoh m radioact radioact ohohohohohohohoh m radioact radioact system sun hasn t die deep bone straight insid m wake feel bone make blow welcom new age new age welcom new age new age ohohohohohohohoh m radioact radioact ohohohohohohohoh m radioact radioact,happy
33,readi come na na na na na na na na na na na na readi come na na na na na na na na na na na na readi eh eh eh eh eh eh readi eh eh eh eh eh eh readi come na na na na na na na na na na na na ain t gotta worri s open invit ll sittin right real patient day night ll waitin standbi t stop love hate way love day night mayb m addict life lie m shi love got regret love hide love ain t finish love ain t finish babi readi readi come na na na na na na na na na na na na readi come na na na na na na na na na na na na readi eh eh eh eh eh eh readi eh eh eh eh eh eh readi come na na na na na na na na na na na na got kind love want let let yeah babi m back gon love life ain t leav knock ain t way stop forev babi m addict lie lie m shi love got regret babi readi readi come na na na na na na na na na na na na readi come na na na na na na na na na na na na readi eh eh eh eh eh eh readi eh eh eh eh eh eh readi come na na na na na na na na na na na na love death know ll die happili ll know ll know ll know love yeah readi come na na na na na na na na na na na na readi come na na na na na na na na na na na na readi eh eh eh eh eh eh readi eh eh eh eh eh eh readi come na na na na na na na na na na na na,happy
34,mayb s way walk straight heart stole door pass guard just like own said said wildest dream danc night best song knew line t rememb goe know won t forget caus danc night best song think went oh oh oh think went yeah yeah yeah think goe said georgia rose daddi dentist said dirti mouth got dirti mouth kiss like meant said home said wildest dream danc night best song knew line t rememb goe know won t forget caus danc night best song think went oh oh oh think went yeah yeah yeah think goe ll rememb know know know ll rememb ll rememb know know hope rememb danc danc danc night best song knew line t rememb goe know won t forget caus danc night best song danc night best song knew line t rememb goe know won t forget caus danc night best song think went oh oh oh think went yeah yeah yeah think goe best song best song best song,happy
39,puttin defenc caus don t wanna fall love did think d heart attack love line said yes right guy troubl get want come m good don t care play em like ken doll won t wash hair make em bounc like basketbal make wanna act like girl paint nail wear high heel yes make nervous just t hold hand make glow cover won t let m puttin defenc caus don t wanna fall love did think d heart attack think d heart attack think d heart attack break sweat guy come paralyz everytim tri come wrong like help s just fair bring troubl worth gasp air feel good know hurt make wanna act like girl paint nail wear perfum make nervous just t hold hand make glow cover won t let m puttin defenc caus don t wanna fall love did think d heart attack think d heart attack think d heart attack feel got lost lung burn d numb s blame scare run m fli close sun burst flame make glow cover won t let m puttin defenc caus don t wanna fall love did think d heart attack think d heart attack heart attack think d heart attack think d heart attack think d heart attack,happy
40,ay ay ay come let s yeah let s alright alright ok uh alright ok alright ok return mack doe isn t look better way bed instead get internet check new hit thrift shop pimp strut walk littl bit humbl littl bit cautious like rocki cosbi sweater gang nope nope y t copi yup bad moon walk parti poss s broadway did way grown music shed skin bone record m let stage light shine got bob barker suit game plinko style money stay craft stick pound pass torch town trust n d e p e n d e n t shit hustler chase dream 14 track buss halfway cross citi backpack fat cat crush label nah t tell peopl spread countri label nah t tell peopl spread countri moment tonight night ll fight till s hand like ceil t hold like ceil t hold moment tonight night ll fight till s hand like ceil t hold like ceil t hold nah kick thank yeah m damn grate grew realli want gold front s wu tang rais y t stop hard like got 808 heart beat m eat beat like gave littl speed great white shark shark week raw tell gone deuc goodby got world girl wanna rome caesar make believ nah did throne valid come give peopl nah sing song goe like rais hand parti came live life like watch got citi right fall got learn failur gain humil march moment tonight night ll fight till s hand like ceil t hold like ceil t hold moment tonight night ll fight till s hand like ceil t hold like ceil t hold na na na na na na na na peopl say na na na na na na na na ma ckle moment tonight night ll fight till s hand like ceil t hold like ceil t hold moment tonight night ll fight till s hand like ceil t hold like ceil t hold,happy
41,bed feel just littl bit bigger song radio don t sound friend talk doe just tear caus heart break littl hear just sound like oh young dumb realiz ve bought flower held hand gave hour chanc parti caus want danc babi s danc s danc man pride ego need selfish way caus good strong woman like walk life clean mess hunt time close eye just sound like oh young dumb realiz ve bought flower held hand gave hour chanc parti caus want danc babi s danc s danc man hurt ll say wrong know m probabl late tri apolog mistak just want know hope buy flower hope hold hand hour chanc parti caus rememb love danc thing man thing man,happy
42,need love need time s wrong make right feel high come aliv need free tonight need love need love deep breath time pass door know t anymor s reason dark ve stranger fell apart feel hopeless watch eye fill fear tell feel hold arm need love need time s wrong make right feel high come aliv need free tonight need love need love m dream walk circl ll figur mean belong tri fight know m strong feel hopeless watch eye fill fear tell feel hold arm need love need time s wrong make right feel high come aliv need free tonight need love need love year time blame eye open heart close tear lie wast ve tri make chang eye open need love need time s wrong make right feel high come aliv need free,happy
43,day met frozen held breath right start knew d home heart beat fast color promis brave love m afraid fall watch stand doubt sudden goe away step closer die day wait darlin don t afraid love thousand year ll love thousand time stand beauti brave let away s stand breath hour come step closer die day wait darlin don t afraid love thousand year ll love thousand believ time brought heart love thousand year ll love thousand step closer step closer die day wait darlin don t afraid love thousand year ll love thousand believ time brought heart love thousand year ll love thousand,happy
45,rememb broke time say ve caus like hadn t seen month said need space come say babi miss swear m gonna chang trust rememb last day say hate break love ooh call night ooh time m tell m tell get get talk friend talk friend talk get like m realli gonna miss pick fight fall scream m right hide away peac mind indi record s cooler ooh call tonight ooh time m tell m tell get get talk friend talk friend talk talk get use think forev use say say uh call s like love m like just mean exhaust know like get like get get talk friend talk friend talk get get get talk friend talk friend talk talk get,happy
46,wake wake grab brush littl makeup hide scar fade away shakeup hide scar fade away d leav key tabl creat fabl want grab brush littl makeup want hide scar fade away shakeup want d leav key tabl want don t think trust self righteous suicid angel deserv die wake wake grab brush littl makeup hide scar fade away shakeup hide scar fade away d leav key tabl creat fabl want grab brush littl makeup want hide scar fade away shakeup want d leav key tabl want don t think trust self righteous suicid angel deserv die self righteous suicid angel deserv die father father father father father father father hand commend spirit father hand forsaken eye forsaken thought forsaken heart forsaken oh trust self righteous suicid angel deserv die self righteous suicid angel deserv die,aggressive
48,come rude boy boy come rude boy boy big yeah babi babi yeah yeah love love yeah come rude boy boy come rude boy boy big yeah babi babi yeah yeah love love yeah tonight mma let captain tonight mma let thing yeah tonight mma let rider giddi giddi giddi babe tonight mma let tonight mma let higher tonight babi yeah yeah like boy wa wa want wa wa want babi like boom boom boom wa wa want wa wa want na na ah come rude boy boy come rude boy boy big yeah babi babi yeah yeah love love yeah come rude boy boy come rude boy boy big yeah babi babi yeah yeah love love yeah tonight mma harder tonight mma turn bodi relax let wanna got need mma buckl mma stronger hand littl longer tonight mma littl crazi littl crazi babi like boy wa wa want wa wa want babi like boom boom boom wa wa want wa wa want na na ah come rude boy boy come rude boy boy big yeah babi babi yeah yeah love love yeah come rude boy boy come rude boy boy big yeah babi babi yeah yeah love love yeah like way touch like way pull hair babe don t feel ain t fake oh like tell oh yeah kiss like tell giddi time giddi say rude boy got come right babi babi love love come rude boy boy come rude boy boy big yeah babi babi yeah yeah love love yeah come rude boy boy come come rude boy boy big yeah babi babi yeah yeah love love yeah love love love love love love babi babi love love love love yeah love love yeah love love yeah babi babi love love,happy
55,ask money vice ask advic money twice m dirti chico nice ya ll moment life mr worldwid christina aguilera oye mamita come dale que la cosa esta rica wanna feel moment feel moment report live tallest build tokyo long way hard way sos oh yea count 305 day babi parti oh babi parti read book especi red room tight up got hook caus seen suit red ta ta meet greet nice meet ya time money differ let s stop time enjoy moment day light glow ll castl golden gate open just wanna feel moment ohhh just wanna feel moment ohhh just wanna feel moment feel moment futur live moment make sens don t make dollar mean billion im genius mean brilliant street scoot em em slicker slick ruler ve lost lot learn lot m undef like zula m far cheap break compani alll peep babi travel world given view time money differ like stop watch let s stop time enjoy moment day light glow ll castl golden gate open just wanna feel moment ohhh just wanna feel moment ohhh just wanna feel moment come feel moment ohhh just wanna feel moment ohhh just wanna feel moment,happy
56,day cold card fold saint gold dream fail one hail worst blood s run stale wanna hide truth wanna shelter beast insid s hide matter breed greed kingdom come kingdom come feel heat look eye s demon hide s demon hide don t close s dark insid s demon hide s demon hide curtain s s light fade sinner crawl dug grave masquerad come call mess don t wanna let hell bound don t wanna hide truth matter breed greed kingdom come kingdom come feel heat look eye s demon hide s demon hide don t close s dark insid s demon hide s demon hide say s make say s fate s woven soul need let eye shine bright wanna save light t escap unless feel heat look eye s demon hide s demon hide don t close s dark insid s demon hide s demon hide,happy
57,feel like perfect night dress like hipster make fun exe uh uh uh uh feel like perfect night breakfast midnight fall love stranger uh uh uh uh yeah happi free confus lone time s miser magic oh yeah tonight s night forget deadlin s time uh uh don t know bout m feel 22 alright don t know bout bet want alright just danc like 22 22 like night place crowd cool kid uh uh uh uh like night ditch scene end dream instead sleep yeah happi free confus lone best way s miser magic oh yeah tonight s night forget heartbreak s time uh uh hey don t know bout m feel 22 alright don t know bout bet want alright alright just danc like 22 oh oh oh oh oh 22 don t know 22 22 feel like night ditch scene feel like night won t sleep feel like night look like bad news gotta gotta yeah don t know bout don t know bout m feel 22 alright don t know bout don t know bout bet want alright just danc like 22 oh oh oh oh oh 22 danc like 22 yeah yeah 22 yeah yeah feel like night ditch scene feel like night won t sleep feel like night look like bad news gotta gotta,happy
60,head hang lowli child slowli taken violenc caus silenc mistaken s s famili head head fight tank bomb bomb gun head head cri head head zombi zombi zombi e e e s head head zombi zombi zombi e e e oh mother s break heart take violenc caus silenc mistaken old theme 1916 head head fight tank bomb bomb gun head head die head head zombi zombi zombi e e e s head head zombi zombi zombi e e e oh,happy
63,time mistak ago sight got guess didn t care guess like fell hard took step s long gone s realiz blame caus knew troubl walk shame flew place d knew troubl walk shame flew place d m lie cold hard ground oh troubl oh troubl apolog ll pretend doesn t know s reason drown heard move whisper street new notch belt ll long gone met realiz joke knew troubl walk shame flew place d knew troubl walk shame flew place d m lie cold hard ground oh troubl oh troubl saddest fear come creep love knew troubl walk shame flew place d oh knew troubl walk shame flew place d m lie cold hard ground oh troubl oh troubl knew troubl walk troubl knew troubl walk troubl,happy
65,wake mornin feelin like p diddi hey s girl grab glass m door m gonna hit citi let s leav brush ma teeth bottl jack caus leav night ain t comin m talk pedicur toe toe tri cloth cloth boy blowin phone phone drop playin favorit cd s pullin parti tryna littl bit tipsi don t stop make pop dj blow speaker tonight imma fight til sunlight tik tok clock parti don t stop whoa oh oh oh whoa oh oh oh don t stop make pop dj blow speaker tonight imma fight til sunlight tik tok clock parti don t stop whoa oh oh oh whoa oh oh oh ain t got care world got plenti beer ain t got money pocket m dude line caus hear got swagger kick em curb unless look like mick jagger m talkin bout everybodi get crunk crunk boy tryna touch junk junk gonna smack get drunk drunk goin til kick polic shut polic shut po po shut man don t stop make pop dj blow speaker tonight imma fight til sunlight tik tok clock parti don t stop whoa oh oh oh whoa oh oh oh don t stop make pop dj blow speaker tonight imma fight til sunlight tik tok clock parti don t stop whoa oh oh oh whoa oh oh oh dj build break heart pound yeah got hand got got sound yeah got build break heart pound yeah got hand hand hand parti don t start til walk don t stop make pop dj blow speaker tonight imma fight til sunlight tik tok clock parti don t stop whoa oh oh oh whoa oh oh oh don t stop make pop dj blow speaker tonight imma fight til sunlight tik tok clock parti don t stop whoa oh oh oh whoa oh oh oh,happy
66,love way make feel love love tu ere todo para mi te amo love yo soy perro soy canino se tratarla cariño est amor es como el vino entr mas viejo pue mas fino aun que tu madr le gusten mis tatuaj dile que soy yo quien te saca lo salvaj kind want time need everyday scale m t stay away want got got everyday need stay ll leav ain t go caus keeper don t worri te necesito got bad boy admit hey got heart don t know did hey don t care see babe don t wanna hide way feel hey love way love way make feel love way love love babi se vivir tu ere todo para mi ooh se vivir te amo love way love oh estoy loca lo ignoro puedo ya dejart pensar y tu lleva hasta el cielo al cielo tu modo hablar dame beso mi amor y acarisiam llevam al cielo enamoram babi yo quiero estar contigo te valla escucha lo que digo don t worri te necesito got bad boy admit hey got heart don t know did hey don t care see babe don t wanna hide way feel hey love way love way make feel love way love love babi se vivir ere todo para mi ooh se vivir te amo love se vivir uh soy diferent sigo al resto la gent se si estoy bien loco o si soy inteligent solo que tu amor es mas que suficient y por ti viajaria todo el continent babi ven aqui por favor ya ves que aqui estoy yo ven y pierda tiempo jbalvin men don t worri te necesito got bad boy admit hey got heart don t know did hey don t care see babe don t wanna hide way feel hey love way love way make feel love way love way make feel babi se vivir tu ere todo para mi ooh se vivir te amo love love way love way make feel love way love love babi se vivir tu ere todo para mi ooh se vivir way love way love yeah way love way make feel te amo te amo love way make feel se vivir way love,happy
71,ve got ticket long way round bottl whiskey way sure like sweet compani m leav tomorrow say m gone m gone gonna miss m gone gonna miss hair gonna miss oh gonna miss m gone m gone m gone gonna miss m gone gonna miss walk gonna miss talk oh gonna miss m gone ve got ticket long way round prettiest view s got mountain s got river s got sight shiver sure prettier m gone m gone gonna miss m gone gonna miss walk gonna miss talk oh gonna miss m gone m gone m gone gonna miss m gone gonna miss hair gonna miss oh sure gonna miss m gone m gone m gone gonna miss m gone gonna miss walk gonna miss talk oh gonna miss m gone,happy
72,babi squirrel sexi motherfuck attent babi gotta tell littl somethin wonder flawless ooh sexi ladi walk like wanna ooh ooh ooh know don t know fine fine fine fine ooh ooh ooh oh girl m gonna oh oh treasur honey golden star know make wish come true let treasur let treasur pretti girl pretti girl pretti girl smile girl like look blue dream wouldn t say wasn t true ooh ooh ooh know don t know fine fine fine fine ooh ooh ooh oh girl m gonna oh oh treasur honey golden star know make wish come true let treasur let treasur treasur yeah treasur yeah treasur honey golden star know make wish come true let treasur let treasur,happy
79,wanna billionair fuckin bad buy thing wanna cover forb magazin smile oprah queen oh time close eye shine light yeah differ citi night oh swear world better prepar m billionair yeah like oprah host everyday christma travi wish list d probabl pull angelina brad pitt adopt bunch babi ain t shit away merced like ladi grant somebodi wish s coupl month ve singl travi claus minus ho ho d probabl visit katrina hit damn sure lot fema did yeah t forget stupid ma theme music oh time close eye shine light oh yeah differ citi night oh swear world better prepar m billionair oh oooh oh oooh m billionair oh oooh oh oooh ll play basketbal presid dunkin deleg ll compliment polit etiquett toss coupl milli air just heck five twenti ten ben complet separ yeah ll new tax bracket recess let crack ll probabl s left just split everybodi love coupl buck singl tummi know hungri eat good sleep sound know similar dream pocket pull wallet air sing wanna billionair fuckin bad buy thing uh wanna cover forb magazin smile oprah queen oh time close eye shine light oh yeah differ citi night oh swear world better prepar m billionair oh oooh oh oooh m billionair oh oooh oh oooh wanna billionair fuckin bad,happy
